No.,Audited, Net Size (m) ,Water Body Abv.,Water Body,Collection Date,Process Date,Sample Time, Depth (m) , Count ,Station,Sample Label,Sample Type,Sample No., Length (mm) ,Gender,Comments
106,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,75, 14.225 ,M1,
107,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,76, 4.983 ,J,
108,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,77, 5.380 ,J,
109,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,78, 13.925 ,U,
110,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,79, 9.492 ,J,
111,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,80, 5.591 ,J,
112,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,81, 5.543 ,J,
113,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,82, 14.398 ,J,
114,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,83, 6.187 ,J,
115,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,84, 11.345 ,U,
116,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,85, 18.543 ,F1,
117,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,86, 5.784 ,J,
118,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,87, 6.864 ,J,
119,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,88, 13.769 ,U,
120,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,89, 5.940 ,J,
121,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,90, 8.729 ,J,
122,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,91, 5.003 ,J,
123,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,92, 9.869 ,J,
124,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,93, 5.156 ,J,
125,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,94, 10.480 ,U,
126,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,95, 15.997 ,U,
127,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,96, 4.876 ,J,
128,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,97, 5.006 ,J,
129,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,98, 13.100 ,M1,
130,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,99, 9.644 ,J,
131,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,100, 6.932 ,J,
132,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,101, 5.533 ,J,
133,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,102, 6.396 ,J,
134,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,103, 5.632 ,J,
135,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,104, 5.299 ,J,
136,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,105, 7.439 ,J,
137,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,106, 6.574 ,J,
138,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,107, 10.093 ,U,
139,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,108, 9.667 ,J,
140,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,109, 8.531 ,J,
141,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,110, 5.386 ,J,
142,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,111, 5.694 ,J,
143,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,112, 7.086 ,J,
144,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,113, 6.610 ,J,
145,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,114, 14.427 ,M1,
146,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,115, 5.851 ,J,
147,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,116, 4.719 ,J,
148,Yes, 1.0 ,DIL,Dillon Reservoir,"July 20, 2014","September 13, 2014",21:55, 16.5 , 157 ,DIL-6,DIL_MYS_072014-002,PF,117, 7.834 ,J,
